provider,model,temperature,random_seed,n_shot_phase_bc,class_0,class_1,feature_0,feature_1,prompt_variant,repetition,fidelity_problem_a,consistency_problem_b,kappa_problem_b,f1_problem_b,consistency_problem_c,kappa_problem_c,f1_problem_c,llm_accuracy_problem_a,llm_accuracy_problem_b,llm_accuracy_problem_c,metric_accuracy_problem_b,metric_accuracy_problem_c,w_0,w_1,w_ratio,w_direction_0,w_direction_1,w_cosine_sim_nnls,gamma,n_disagreements_b,n_disagreements_c,n_malformed_responses,euclidean_consistency_b,euclidean_consistency_c,diagonal_limitation_flag
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,default,0,0.64,0.58,0.10447761194029859,0.58,0.91,0.8109243697478992,0.91,0.29333333333333333,0.45,0.15,0.77,0.12,0.0,0.5281242874605829,0.0,0.0,1.0,0.9695638554855582,0.0,42,9,0,0.67,0.86,1
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,default,0,0.64,0.7708333333333334,0.5304579813250333,0.7708333333333333,0.9270833333333334,0.8539130434782609,0.9270833333333334,0.29333333333333333,0.8645833333333334,0.0625,0.7604166666666666,0.09375,0.0,0.5281242874605829,0.0,0.0,1.0,0.9695638554855582,0.0,22,7,0,0.8854166666666666,0.9583333333333334,1
openai,gpt-4o-mini,0.0,42,10,0,1,x1,x2,default,0,0.02666666666666667,0.8631578947368421,0.0,0.8631578947368421,0.8526315789473684,0.0,0.8526315789473684,0.5133333333333333,0.6210526315789474,0.6631578947368421,0.4842105263157895,0.5157894736842106,0.0,0.0,inf,0.0,0.0,0.0,0.0,13,14,0,0.7789473684210526,0.7578947368421053,0
openai,gpt-4o-mini,0.0,42,10,Positivo,Negativo,x1,x2,default,0,0.9933333333333333,0.7111111111111111,0.40578974098527165,0.711111111111111,0.9666666666666667,0.9332013854527461,0.9666666666666667,0.1,0.5444444444444444,0.08888888888888889,0.7666666666666667,0.05555555555555555,0.8301117769129098,4.553287781048001,0.18231041322888852,0.17935417157466027,0.9837845704923244,0.9968273002908499,0.0,26,3,0,0.7333333333333333,0.9111111111111111,1
openai,gpt-4o-mini,0.0,42,10,Azul,Vermelho,x1,x2,default,0,0.8533333333333334,0.6666666666666666,0.3171471927162367,0.6666666666666666,0.9666666666666667,0.9332674246169056,0.9666666666666668,0.2,0.4111111111111111,0.022222222222222223,0.6777777777777778,0.05555555555555555,0.17063342864913,1.027326343274164,0.16609466871579368,0.16384994475980072,0.9864852738901937,0.995809436914895,0.0,30,3,0,0.7222222222222222,0.9777777777777777,1
openai,gpt-4o-mini,0.0,42,10,B,A,x1,x2,default,0,0.68,0.8444444444444444,0.685,0.8444444444444444,0.9666666666666667,0.9330024813895782,0.9666666666666666,0.4266666666666667,0.16666666666666666,0.9222222222222223,0.07777777777777778,0.9555555555555556,0.062230479029079924,0.36999604738955105,0.1681922806152587,0.16586262705730018,0.9861488675375797,0.9967843443145373,0.0,14,3,0,0.8333333333333334,0.9333333333333333,0
openai,gpt-4o-mini,0.0,42,10,1,0,x1,x2,default,0,0.8333333333333334,0.8777777777777778,0.7550717466600693,0.8777777777777778,0.8666666666666667,0.7115384615384616,0.8666666666666667,0.4866666666666667,0.8222222222222222,0.2111111111111111,0.7222222222222222,0.12222222222222222,0.0,1.0958004611157914,0.0,0.0,1.0,0.9748383932668708,0.0,11,12,0,0.8,0.8222222222222222,0
openai,gpt-4o-mini,0.0,42,10,Negativo,Positivo,x1,x2,default,0,0.9066666666666666,0.7111111111111111,0.41993058998512645,0.7111111111111111,0.7444444444444445,0.18181818181818188,0.7444444444444445,0.82,0.5333333333333333,0.5555555555555556,0.28888888888888886,0.7888888888888889,0.8731360506616015,5.439558961397844,0.1605159640437513,0.1584872077059922,0.9873610307246067,0.99627827420074,0.0,26,23,0,0.7666666666666667,0.6888888888888889,1
openai,gpt-4o-mini,0.0,42,10,Vermelho,Azul,x1,x2,default,0,0.5666666666666667,0.8555555555555555,0.7090999502734958,0.8555555555555556,0.9111111111111111,0.8215171046108081,0.9111111111111111,0.8933333333333333,0.14444444444444443,0.9777777777777777,0.28888888888888886,0.8888888888888888,0.0,0.04434278107270524,0.0,0.0,1.0,0.9497340118877976,0.0,13,8,0,0.8333333333333334,0.9777777777777777,0
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,geometric,0,0.8066666666666666,0.61,0.02206619859578729,0.61,0.77,0.36040044493882095,0.77,0.4866666666666667,0.5,0.39,0.79,0.18,0.0,0.7090074791370521,0.0,0.0,1.0,0.9735554089758434,0.0,39,23,0,0.65,0.72,1
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,cot,0,0.7466666666666667,0.65,0.20886075949367078,0.65,0.77,0.5407348242811502,0.77,0.3466666666666667,0.48,0.21,0.77,0.1,0.0,0.0009144747176064866,0.0,0.0,1.0,0.9724291006121568,0.1365234375,35,23,0,0.69,0.77,1
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,tabular,0,0.5133333333333333,0.53,-0.0059931506849315586,0.53,0.72,0.16267942583732053,0.72,0.48,0.45,0.46,0.76,0.18,0.0,0.0006544616492957472,0.0,0.0,1.0,0.0,0.03964843750000001,47,28,0,0.65,0.66,1
openai,gpt-4o-mini,0.0,42,0,A,B,altura,peso,default,0,0.8266666666666667,0.72,0.40552016985137995,0.72,0.94,0.8795664391810518,0.94,0.2,0.35,0.07,0.11,0.05,0.9030808801488014,1.4004975136775826,0.6448286207787624,0.5419294414079797,0.8404239885529416,0.9472235515146852,0.0,28,6,0,0.0,0.0,0
openai,gpt-4o-mini,0.0,42,0,A,B,feature_1,feature_2,default,0,0.84,0.81,0.5226130653266332,0.8099999999999999,0.81,0.608085808580858,0.81,0.29333333333333333,0.42,0.19,0.27,0.04,0.004898577936359116,0.0187804941418155,0.2608332826265866,0.25238902599686563,0.9676258468831606,0.9999905484628908,0.9238281250000004,19,19,0,0.0,0.0,0
