problem_name,seed,feature_names,n_features,n_shot,accuracy_llm_vs_metric,accuracy_llm_vs_true,kappa_llm_vs_metric,f1_llm_vs_metric,accuracy_perceptron_baseline_vs_true,n_malformed
homem_mulher,42,x1/x2,4,0,0.7,0.6333333333333333,0.3349753694581281,0.7906976744186046,,0
homem_mulher,42,x1/x2,4,5,0.7666666666666667,0.36666666666666664,0.5023696682464455,0.8205128205128205,0.13333333333333333,0
homem_mulher,42,x1/x2,4,10,0.7666666666666667,0.43333333333333335,0.5023696682464455,0.8205128205128205,0.36666666666666664,0
homem_mulher,42,x1/x2,4,20,0.7,0.5,0.34782608695652173,0.7804878048780488,0.4,0
homem_mulher,42,x1/x2,4,40,0.8,0.4,0.5774647887323943,0.8421052631578947,0.13333333333333333,0
homem_mulher,42,peso/altura,2,0,0.7666666666666667,0.6666666666666666,0.4927536231884059,0.8205128205128205,,0
homem_mulher,42,peso/altura,2,5,0.7333333333333333,0.7,0.375,0.8181818181818182,,0
homem_mulher,42,peso/altura,2,10,0.9666666666666667,0.9333333333333333,0.9315068493150684,0.9714285714285714,0.7333333333333333,0
homem_mulher,42,peso/altura,2,20,1.0,0.9,1.0,1.0,0.9,0
homem_mulher,42,peso/altura,2,40,1.0,0.9,1.0,1.0,0.8666666666666667,0
homem_mulher,123,x1/x2,2,0,0.5333333333333333,0.5,0.11392405063291144,0.5882352941176471,,0
homem_mulher,123,x1/x2,2,5,0.5,0.4666666666666667,0.008810572687224627,0.4827586206896552,0.4666666666666667,0
homem_mulher,123,x1/x2,2,10,0.8333333333333334,0.6666666666666666,0.6511627906976745,0.782608695652174,0.8,0
homem_mulher,123,x1/x2,2,20,0.8333333333333334,0.6,0.6575342465753424,0.8,0.7,0
homem_mulher,123,x1/x2,2,40,0.8,0.5666666666666667,0.5852534562211982,0.75,0.7,0
homem_mulher,123,peso/altura,2,0,0.7333333333333333,0.7333333333333333,0.45945945945945954,0.6923076923076923,,0
homem_mulher,123,peso/altura,2,5,0.9333333333333333,0.8,0.8571428571428572,0.9090909090909091,0.6,0
homem_mulher,123,peso/altura,2,10,1.0,0.8,1.0,1.0,0.8,0
homem_mulher,123,peso/altura,2,20,0.9666666666666667,0.8333333333333334,0.9315068493150684,0.96,0.8333333333333334,0
homem_mulher,123,peso/altura,2,40,1.0,0.8,1.0,1.0,0.8,0
homem_mulher,7,x1/x2,2,0,0.23333333333333334,0.5666666666666667,0.0,0.0,,0
homem_mulher,7,x1/x2,2,5,0.9,0.5,0.0,0.0,,0
homem_mulher,7,x1/x2,2,10,0.9666666666666667,0.43333333333333335,0.0,0.0,,0
homem_mulher,7,x1/x2,2,20,1.0,0.4666666666666667,,0.0,,0
homem_mulher,7,x1/x2,2,40,1.0,0.4666666666666667,,0.0,,0
homem_mulher,7,peso/altura,2,0,0.5333333333333333,0.7,-0.04477611940298498,0.65,,0
homem_mulher,7,peso/altura,2,5,0.8333333333333334,0.6666666666666666,0.5283018867924528,0.8936170212765957,0.7,0
homem_mulher,7,peso/altura,2,10,0.7333333333333333,0.5666666666666667,0.49367088607594944,0.7647058823529411,0.43333333333333335,0
homem_mulher,7,peso/altura,2,20,0.6,0.9,0.19999999999999996,0.6666666666666666,0.8,0
homem_mulher,7,peso/altura,2,40,0.6333333333333333,0.8,0.2857142857142857,0.6857142857142857,0.7666666666666667,0
meia_lua_seed42,42,x1/x2,4,0,0.7555555555555555,0.5333333333333333,0.11764705882352933,0.15384615384615385,,0
meia_lua_seed42,42,x1/x2,4,5,0.8222222222222222,0.7333333333333333,0.6078431372549019,0.7333333333333333,,0
meia_lua_seed42,42,x1/x2,4,10,0.9555555555555556,0.7333333333333333,0.8863636363636364,0.9166666666666666,0.6666666666666666,0
meia_lua_seed42,42,x1/x2,4,20,0.8666666666666667,0.6444444444444445,0.7058823529411764,0.8,0.6,0
meia_lua_seed42,42,x1/x2,4,40,0.8888888888888888,0.6222222222222222,0.7491638795986622,0.8275862068965517,0.6,0
