provider,model,temperature,random_seed,n_shot_phase_bc,class_0,class_1,feature_0,feature_1,prompt_variant,repetition,fidelity_problem_a,consistency_problem_b,kappa_problem_b,f1_problem_b,consistency_problem_c,kappa_problem_c,f1_problem_c,llm_accuracy_problem_a,llm_accuracy_problem_b,llm_accuracy_problem_c,metric_accuracy_problem_b,metric_accuracy_problem_c,w_0,w_1,w_ratio,w_direction_0,w_direction_1,w_cosine_sim_nnls,gamma,n_disagreements_b,n_disagreements_c,n_malformed_responses,euclidean_consistency_b,euclidean_consistency_c,diagonal_limitation_flag
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,default,0,0.82,0.7,0.3303571428571428,0.7,0.89,0.7706422018348624,0.89,0.3,0.52,0.17,0.74,0.06,0.0009066360468781599,0.002964229828155457,0.30585889065232497,0.2924838251544041,0.9562704701197503,0.9987238889669213,0.61015625,30,11,0,0.74,0.86,1
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,default,0,0.82,0.6770833333333334,0.35472679965307885,0.6770833333333334,0.9791666666666666,0.958315240990013,0.9791666666666666,0.3,0.3541666666666667,0.03125,0.03125,0.03125,0.0009066360468781599,0.002964229828155457,0.30585889065232497,0.2924838251544041,0.9562704701197503,0.9987238889669213,0.61015625,31,2,0,0.7083333333333334,0.96875,1
openai,gpt-4o-mini,0.0,42,10,0,1,x1,x2,default,0,0.66,0.8444444444444444,0.6871896722939423,0.8444444444444444,0.7111111111111111,0.3157894736842105,0.711111111111111,0.54,0.15555555555555556,0.6111111111111112,0.022222222222222223,0.9,0.00010490237195059796,0.00042055026873744896,0.24944074406498332,0.24202488151904672,0.9702700431970943,0.9999812742614714,0.1,14,26,0,0.8111111111111111,0.7,0
openai,gpt-4o-mini,0.0,42,10,Positivo,Negativo,x1,x2,default,0,0.9933333333333333,0.5777777777777777,0.1467065868263473,0.5777777777777777,0.9555555555555556,0.9108910891089109,0.9555555555555556,0.1,0.5333333333333333,0.07777777777777778,0.9333333333333333,0.05555555555555555,0.1550794037570295,0.948804281211038,0.16344720067987967,0.16130674812608364,0.9869043180617806,0.995202382066557,0.37578125,38,4,0,0.6555555555555556,0.9,1
openai,gpt-4o-mini,0.0,42,10,Azul,Vermelho,x1,x2,default,0,0.82,0.8777777777777778,0.7223780145821649,0.8777777777777778,0.8777777777777778,0.748091603053435,0.8777777777777778,0.23333333333333334,0.7666666666666667,0.17777777777777778,0.8888888888888888,0.05555555555555555,0.0003079986727481925,0.0029244003112565307,0.10532028449137128,0.10474097412347555,0.9944995366211417,0.989262051408789,0.5367187499999999,11,11,0,0.7777777777777778,0.8111111111111111,0
openai,gpt-4o-mini,0.0,42,10,B,A,x1,x2,default,0,0.64,0.9888888888888889,0.9777117384843982,0.9888888888888889,0.9555555555555556,0.9111111111111111,0.9555555555555557,0.41333333333333333,0.03333333333333333,0.9333333333333333,0.022222222222222223,0.9777777777777777,0.0006807404225652189,0.002734845597933144,0.24891365826271422,0.2415433333106065,0.9703900340240521,0.9999952002930653,0.1,1,4,0,0.9777777777777777,0.9333333333333333,0
openai,gpt-4o-mini,0.0,42,10,1,0,x1,x2,default,0,0.7933333333333333,0.9888888888888889,0.9777777777777777,0.9888888888888889,0.8333333333333334,0.6341463414634146,0.8333333333333333,0.4866666666666667,0.9666666666666667,0.24444444444444444,0.9555555555555556,0.12222222222222222,0.0,6.063854360784972e-06,0.0,0.0,1.0,0.9737005702803027,0.07324218750000001,1,15,0,0.9666666666666667,0.8,0
openai,gpt-4o-mini,0.0,42,10,Negativo,Positivo,x1,x2,default,0,0.9266666666666666,0.8666666666666667,0.7306733167082294,0.8666666666666667,0.7333333333333333,0.3414634146341463,0.7333333333333333,0.8133333333333334,0.14444444444444443,0.6111111111111112,0.03333333333333333,0.8777777777777778,0.22562061836963976,1.178406214931976,0.19146251565099204,0.18804683624164192,0.9821600619957569,0.9984742040987449,0.0,12,24,0,0.8222222222222222,0.7,0
openai,gpt-4o-mini,0.0,42,10,Vermelho,Azul,x1,x2,default,0,0.84,0.8666666666666667,0.729594391587381,0.8666666666666667,0.8444444444444444,0.6851574212893554,0.8444444444444444,0.8533333333333334,0.8555555555555555,0.8222222222222222,0.9888888888888889,0.9555555555555556,0.02611329919438812,0.08502706990946023,0.30711747708340964,0.2935838328409445,0.9559333308837077,0.9993338258133792,0.0,12,14,0,0.8777777777777778,0.8444444444444444,1
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,geometric,0,0.8066666666666666,0.74,0.11262798634812277,0.74,0.75,0.3001119820828667,0.7500000000000001,0.4866666666666667,0.51,0.42,0.57,0.17,0.0004649001353083477,0.002296801316173423,0.2024119944701585,0.19838873536535773,0.9801234155350713,0.9998553275997525,0.2953125,26,25,0,0.64,0.7,0
