provider,model,temperature,random_seed,n_shot_phase_bc,class_0,class_1,feature_0,feature_1,prompt_variant,repetition,fidelity_problem_a,consistency_problem_b,kappa_problem_b,f1_problem_b,consistency_problem_c,kappa_problem_c,f1_problem_c,llm_accuracy_problem_a,llm_accuracy_problem_b,llm_accuracy_problem_c,metric_accuracy_problem_b,metric_accuracy_problem_c,w_0,w_1,w_ratio,w_direction_0,w_direction_1,w_cosine_sim_nnls,w_cosine_sim_lp,w_cosine_sim_nnls_lp,gamma,w_lp_0,w_lp_1,fidelity_lp_problem_a,consistency_lp_problem_b,kappa_lp_problem_b,consistency_lp_problem_c,kappa_lp_problem_c,gamma_lp,n_disagreements_b,n_disagreements_c,n_malformed_responses,euclidean_consistency_b,euclidean_consistency_c,diagonal_limitation_flag
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,default,0,0.82,0.72,0.3696533093201261,0.72,0.72,0.3975903614457831,0.72,0.28,0.47,0.5,0.19,0.72,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.68,0.27960378208014414,0.88,0.7262773722627738,0.0,28,28,0,0.68,0.88,0
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,default,1,0.82,0.68,0.2920353982300885,0.6799999999999999,0.68,0.3208828522920204,0.6799999999999999,0.28,0.46,0.52,0.16,0.74,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.65,0.23580786026200873,0.85,0.6414913957934991,0.0,32,32,0,0.65,0.85,0
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,default,2,0.82,0.72,0.37970757642888786,0.72,0.72,0.3975903614457831,0.72,0.28,0.41,0.52,0.17,0.72,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.69,0.3213660245183889,0.84,0.635036496350365,0.0,28,28,0,0.69,0.84,0
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,default,0,0.82,0.7916666666666666,0.5826086956521739,0.7916666666666666,0.6875,0.3709043250327654,0.6875,0.28,0.3333333333333333,0.3229166666666667,0.125,0.03125,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.7604166666666666,0.5204170286707211,0.6979166666666666,0.3905429071803853,0.0,20,30,0,0.7604166666666666,0.6979166666666666,0
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,default,1,0.82,0.8020833333333334,0.6024411508282476,0.8020833333333335,0.6979166666666666,0.3905429071803853,0.6979166666666667,0.28,0.3541666666666667,0.2916666666666667,0.15625,0.052083333333333336,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.7395833333333334,0.4787141615986099,0.71875,0.4345549738219895,0.0,19,29,0,0.7395833333333334,0.71875,0
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,default,2,0.82,0.8125,0.6210526315789473,0.8124999999999999,0.6875,0.3709043250327654,0.6875,0.28,0.3958333333333333,0.3229166666666667,0.20833333333333334,0.03125,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.7291666666666666,0.45549738219895286,0.7083333333333334,0.4128440366972477,0.0,18,30,0,0.7291666666666666,0.7083333333333334,0
openai,gpt-4o-mini,0.0,42,10,A,B,x1,x2,default,0,0.82,0.7333333333333333,0.46241911398705826,0.7333333333333334,0.7111111111111111,0.4244958189867192,0.711111111111111,0.28,0.36666666666666664,0.32222222222222224,0.1,0.05555555555555555,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.7111111111111111,0.41762070681931307,0.7222222222222222,0.44553967471660916,0.0,24,26,0,0.7111111111111111,0.7222222222222222,0
openai,gpt-4o-mini,0.0,42,10,A,B,x1,x2,default,1,0.82,0.7444444444444445,0.48533068125310797,0.7444444444444444,0.7111111111111111,0.4236453201970444,0.7111111111111111,0.28,0.35555555555555557,0.3333333333333333,0.1,0.06666666666666667,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.7222222222222222,0.4405768274490304,0.7111111111111111,0.4236453201970444,0.0,23,26,0,0.7222222222222222,0.7111111111111111,0
openai,gpt-4o-mini,0.0,42,10,A,B,x1,x2,default,2,0.82,0.7444444444444445,0.48533068125310797,0.7444444444444444,0.7222222222222222,0.4460856720827179,0.7222222222222222,0.28,0.35555555555555557,0.34444444444444444,0.1,0.08888888888888889,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.7222222222222222,0.4405768274490304,0.7,0.4017725258493353,0.0,23,25,0,0.7222222222222222,0.7,0
openai,gpt-4o-mini,0.0,42,20,A,B,x1,x2,default,0,0.82,0.925,0.8502807236431691,0.925,0.8625,0.7246558197747184,0.8624999999999999,0.28,0.1,0.1125,0.075,0.05,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.95,0.9001871490954461,0.8875,0.7744360902255639,0.0,6,11,0,0.95,0.8875,1
openai,gpt-4o-mini,0.0,42,20,A,B,x1,x2,default,1,0.82,0.925,0.8502807236431691,0.925,0.85,0.699812382739212,0.85,0.28,0.1,0.1125,0.075,0.0625,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.95,0.9001871490954461,0.8875,0.7744360902255639,0.0,6,12,0,0.95,0.8875,1
openai,gpt-4o-mini,0.0,42,20,A,B,x1,x2,default,2,0.82,0.925,0.8502807236431691,0.925,0.8625,0.725,0.8624999999999999,0.28,0.1,0.1,0.075,0.0625,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.95,0.9001871490954461,0.9,0.8,0.0,6,11,0,0.95,0.9,1
openai,gpt-4o-mini,0.0,42,40,A,B,x1,x2,default,0,0.82,0.8666666666666667,0.7342192691029901,0.8666666666666667,0.8333333333333334,0.6662958843159066,0.8333333333333334,0.28,0.15,0.13333333333333333,0.08333333333333333,0.06666666666666667,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.9,0.8006644518272426,0.8666666666666667,0.7324414715719063,0.0,8,10,0,0.9,0.8666666666666667,1
openai,gpt-4o-mini,0.0,42,40,A,B,x1,x2,default,1,0.82,0.8666666666666667,0.7342192691029901,0.8666666666666667,0.8333333333333334,0.6662958843159066,0.8333333333333334,0.28,0.15,0.13333333333333333,0.08333333333333333,0.06666666666666667,0.2640941109781461,0.619094844267668,0.4265810213466485,0.3923720392048504,0.9198066007863975,0.9878882319894018,0.9278504125164121,0.8587425488997984,0.0,0.5,0.5,0.7733333333333333,0.9,0.8006644518272426,0.8666666666666667,0.7324414715719063,0.0,8,10,0,0.9,0.8666666666666667,1
