provider,model,temperature,random_seed,n_shot_phase_bc,class_0,class_1,feature_0,feature_1,repetition,fidelity_problem_a,consistency_problem_b,kappa_problem_b,f1_problem_b,consistency_problem_c,kappa_problem_c,f1_problem_c,llm_accuracy_problem_a,llm_accuracy_problem_b,llm_accuracy_problem_c,metric_accuracy_problem_b,metric_accuracy_problem_c,w_0,w_1,w_ratio,gamma,n_disagreements_b,n_disagreements_c,n_malformed_responses,euclidean_consistency_b,euclidean_consistency_c,diagonal_limitation_flag
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,0,0.7333333333333333,0.66,0.21259842519685035,0.6599999999999999,0.61,0.17372881355932213,0.6100000000000001,0.30666666666666664,0.45,0.48,0.13,0.11,1.4269656036247615,0.3519779990118611,4.05413295044238,0.0,34,39,0,0.7,0.67,1
openai,gpt-4o-mini,0.0,42,0,A,B,x1,x2,1,0.7333333333333333,0.66,0.22054103622191645,0.6599999999999999,0.59,0.12617220801364026,0.5900000000000001,0.30666666666666664,0.45,0.5,0.13,0.11,1.4269656036247615,0.3519779990118611,4.05413295044238,0.0,34,41,0,0.7,0.65,1
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,0,0.7333333333333333,0.8854166666666666,0.7708333333333334,0.8854166666666666,0.8229166666666666,0.6458333333333333,0.8229166666666665,0.30666666666666664,0.08333333333333333,0.08333333333333333,0.13541666666666666,0.11458333333333333,1.4269656036247615,0.3519779990118611,4.05413295044238,0.0,11,17,0,0.8645833333333334,0.7604166666666666,0
openai,gpt-4o-mini,0.0,42,5,A,B,x1,x2,1,0.7333333333333333,0.8854166666666666,0.7708333333333334,0.8854166666666666,0.8333333333333334,0.6656508489333914,0.8333333333333334,0.30666666666666664,0.08333333333333333,0.07291666666666667,0.13541666666666666,0.11458333333333333,1.4269656036247615,0.3519779990118611,4.05413295044238,0.0,11,16,0,0.8645833333333334,0.7708333333333334,0
openai,gpt-4o-mini,0.0,42,10,A,B,x1,x2,0,0.7333333333333333,0.8777777777777778,0.7555555555555555,0.8777777777777778,0.8888888888888888,0.7800586510263929,0.8888888888888888,0.30666666666666664,0.08888888888888889,0.05555555555555555,0.14444444444444443,0.12222222222222222,1.4269656036247615,0.3519779990118611,4.05413295044238,0.0,11,10,0,0.8555555555555555,0.8222222222222222,0
openai,gpt-4o-mini,0.0,42,10,A,B,x1,x2,1,0.7333333333333333,0.8777777777777778,0.7555555555555555,0.8777777777777778,0.8888888888888888,0.7800586510263929,0.8888888888888888,0.30666666666666664,0.08888888888888889,0.05555555555555555,0.14444444444444443,0.12222222222222222,1.4269656036247615,0.3519779990118611,4.05413295044238,0.0,11,10,0,0.8555555555555555,0.8222222222222222,0
openai,gpt-4o-mini,0.0,42,10,0,1,x1,x2,0,0.6666666666666666,0.5555555555555556,0.19354838709677413,0.5555555555555555,0.5222222222222223,0.22195416164053072,0.5222222222222223,0.5466666666666666,0.4222222222222222,0.6222222222222222,0.7111111111111111,0.6333333333333333,0.19026844029109036,0.22309478320061427,0.8528592088143748,0.0,40,43,0,0.5444444444444444,0.5444444444444444,0
openai,gpt-4o-mini,0.0,42,10,0,1,x1,x2,1,0.6666666666666666,0.5666666666666667,0.20552286102308737,0.5666666666666667,0.5111111111111111,0.2108409724990037,0.5111111111111111,0.5466666666666666,0.4111111111111111,0.6333333333333333,0.7111111111111111,0.6333333333333333,0.19026844029109036,0.22309478320061427,0.8528592088143748,0.0,39,44,0,0.5555555555555556,0.5333333333333333,0
openai,gpt-4o-mini,0.0,42,10,Positivo,Negativo,x1,x2,0,0.98,0.6666666666666666,0.3635077793493636,0.6666666666666666,0.6777777777777778,0.38990182328190737,0.6777777777777778,0.09333333333333334,0.5333333333333333,0.7111111111111111,0.24444444444444444,0.3888888888888889,0.67589022290941,4.898641443383575,0.13797503465421246,0.0,30,29,0,0.5222222222222223,0.36666666666666664,0
openai,gpt-4o-mini,0.0,42,10,Positivo,Negativo,x1,x2,1,0.98,0.6777777777777778,0.386459802538787,0.6777777777777778,0.6888888888888889,0.4059405940594061,0.6888888888888889,0.09333333333333334,0.5222222222222223,0.7,0.24444444444444444,0.3888888888888889,0.67589022290941,4.898641443383575,0.13797503465421246,0.0,29,28,0,0.5333333333333333,0.35555555555555557,0
